pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
Kepler-44 b,0,12.220,0.780,-0.780,0,1.090,0.070,-0.070,0,317.82000,31.78000,-31.78000,0,1.00000,0.10000,-0.10000,0
Kepler-440 b,0,1.860,0.240,-0.190,0,0.170,0.020,-0.020,0,4.12000,,,0,0.01300,,,0
Kepler-441 b,0,1.640,0.220,-0.240,0,0.150,0.020,-0.020,0,3.33000,,,0,0.01050,,,0
Kepler-442 b,0,1.340,0.110,-0.180,0,0.120,0.010,-0.020,0,2.36000,,,0,0.00742,,,0
Kepler-443 b,0,2.330,0.190,-0.220,0,0.210,0.020,-0.020,0,6.04000,,,0,0.01900,,,0
Kepler-444 b,0,0.403,0.016,-0.014,0,0.036,0.001,-0.001,0,0.03740,,,0,0.00012,,,0
Kepler-444 c,0,0.497,0.021,-0.017,0,0.044,0.002,-0.002,0,0.07930,,,0,0.00025,,,0
Kepler-444 d,0,0.530,0.022,-0.019,0,0.047,0.002,-0.002,0,0.20000,0.50000,-0.10000,0,0.00063,0.00157,-0.00031,0
Kepler-444 e,0,0.546,0.017,-0.015,0,0.049,0.002,-0.001,0,0.10000,0.20000,-0.10000,0,0.00031,0.00063,-0.00031,0
Kepler-444 f,0,0.741,0.041,-0.040,0,0.066,0.004,-0.004,0,0.33200,,,0,0.00104,,,0
Kepler-445 b,0,1.580,0.230,-0.230,0,0.140,0.020,-0.020,0,3.12000,,,0,0.00982,,,0
Kepler-445 c,0,2.510,0.360,-0.360,0,0.220,0.030,-0.030,0,6.85000,,,0,0.02150,,,0
Kepler-445 d,0,1.250,0.190,-0.190,0,0.110,0.020,-0.020,0,2.10000,,,0,0.00660,,,0
Kepler-446 b,0,1.500,0.250,-0.250,0,0.130,0.020,-0.020,0,2.86000,,,0,0.00899,,,0
Kepler-446 c,0,1.110,0.180,-0.180,0,0.100,0.020,-0.020,0,1.41000,,,0,0.00444,,,0
Kepler-446 d,0,1.350,0.220,-0.220,0,0.120,0.020,-0.020,0,2.39000,,,0,0.00752,,,0
Kepler-447 b,0,18.490,6.610,-6.280,0,1.650,0.590,-0.560,0,435.41000,152.55000,-146.20000,0,1.37000,0.48000,-0.46000,0
Kepler-448 c,0,12.000,,,0,1.070,,,0,6992.26000,2224.81000,-1589.15000,0,22.00000,7.00000,-5.00000,0
Kepler-449 b,0,2.056,0.069,-0.069,0,0.183,0.006,-0.006,0,4.88000,,,0,0.01540,,,0
Kepler-449 c,0,2.764,0.086,-0.086,0,0.247,0.008,-0.008,0,8.07000,,,0,0.02540,,,0
Kepler-45 b,0,10.760,1.230,-1.230,0,0.960,0.110,-0.110,0,160.49700,28.60400,-28.60400,0,0.50500,0.09000,-0.09000,0
Kepler-450 b,0,6.140,0.330,-0.330,0,0.548,0.029,-0.029,0,19.40000,11.10000,-6.80000,0,0.06104,0.03492,-0.02140,0
Kepler-450 c,0,2.620,0.140,-0.140,0,0.234,0.012,-0.012,0,12.50000,3.20000,-2.60000,0,0.03933,0.01007,-0.00818,0
Kepler-450 d,0,0.837,0.068,-0.068,0,0.075,0.006,-0.006,0,17.60000,9.50000,-6.70000,0,0.05538,0.02989,-0.02108,0
Kepler-451 c,0,13.500,,,0,1.210,,,0,511.70374,44.49598,-44.49598,0,1.61000,0.14000,-0.14000,0
Kepler-451 d,0,13.500,,,0,1.200,,,0,559.37800,57.20911,-57.20911,0,1.76000,0.18000,-0.18000,0
Kepler-453 b,0,6.204,0.039,-0.039,0,0.553,0.003,-0.003,0,16.00000,,,1,0.05034,,,1
Kepler-454 b,0,2.370,0.130,-0.130,0,0.211,0.012,-0.012,0,5.40000,1.40000,-1.40000,0,0.01699,0.00440,-0.00440,0
Kepler-454 c,0,12.900,,,0,1.150,,,0,1433.40612,38.13941,-38.13941,0,4.51000,0.12000,-0.12000,0
Kepler-454 d,0,13.300,,,0,1.190,,,0,734.18362,85.81367,-50.85255,0,2.31000,0.27000,-0.16000,0
Kepler-457 d,0,2.985,,,0,0.266,,,0,9.19000,,,0,0.02890,,,0
Kepler-458 c,0,4.200,0.630,-0.400,0,0.375,0.056,-0.036,0,16.40000,,,0,0.05160,,,0
Kepler-46 b,0,9.057,0.471,-0.482,0,0.808,0.042,-0.043,0,1907.00000,,,1,6.00000,,,1
Kepler-46 c,0,13.500,,,0,1.210,,,0,119.49900,6.67400,-6.03900,0,0.37600,0.02100,-0.01900,0
Kepler-46 d,0,1.640,0.920,-0.920,0,0.146,0.082,-0.082,0,3.33000,,,0,0.01050,,,0
Kepler-460 c,0,5.520,2.070,-0.730,0,0.492,0.185,-0.065,0,26.10000,,,0,0.08210,,,0
Kepler-461 b,0,2.580,0.070,-0.060,0,0.230,0.006,-0.005,0,7.18000,,,0,0.02260,,,0
Kepler-462 b,0,3.000,0.200,-0.100,0,0.268,0.018,-0.009,0,53.90000,104.60000,-23.80000,0,0.16959,0.32911,-0.07488,0
Kepler-462 c,0,4.000,0.200,-0.200,0,0.357,0.018,-0.018,0,6.00000,10.80000,-4.90000,0,0.01888,0.03398,-0.01542,0
Kepler-463 b,0,3.050,0.430,-0.300,0,0.272,0.038,-0.027,0,9.53000,,,0,0.03000,,,0
Kepler-464 b,0,3.300,0.160,-0.130,0,0.294,0.014,-0.012,0,10.90000,,,0,0.03430,,,0
Kepler-465 b,0,2.950,0.250,-0.160,0,0.263,0.022,-0.014,0,9.01000,,,0,0.02830,,,0
Kepler-466 b,0,2.850,0.220,-0.170,0,0.254,0.020,-0.015,0,8.50000,,,0,0.02670,,,0
Kepler-466 c,0,1.250,0.100,-0.070,0,0.112,0.009,-0.006,0,2.10000,,,0,0.00660,,,0
Kepler-467 b,0,2.250,0.300,-0.080,0,0.201,0.027,-0.007,0,5.69000,,,0,0.01790,,,0
Kepler-47 b,0,3.050,0.040,-0.040,0,0.272,0.004,-0.004,0,2.07000,23.70000,-2.07000,0,0.00651,0.07457,-0.00651,0
Kepler-47 c,0,4.650,0.090,-0.070,0,0.415,0.008,-0.006,0,3.17000,2.18000,-1.25000,0,0.00997,0.00686,-0.00393,0
Kepler-47 d,0,7.040,0.660,-0.490,0,0.628,0.059,-0.044,0,19.02000,23.84000,-11.67000,0,0.05984,0.07501,-0.03672,0
Kepler-471 b,0,14.960,5.420,-2.960,0,1.335,0.484,-0.264,0,37000.00000,,,0,117.00000,,,0
